year,ISO,LiNo,latitude,longitude,Breteau_index,Aeg_aed_index,Res_index,Contain_index,Larvae_index,date,
2008,9,35,22.636206,120.3168833,2,0,2,1.063829787,6,2008/2/25,2008/3/2
2011,16,35,22.636206,120.3168833,2,0.02,2,3.333333333,84,2011/4/11,2011/4/17
2011,17,35,22.636206,120.3168833,2,0,2,4.347826087,22,2011/4/18,2011/4/24
2011,28,35,22.636206,120.3168833,2,0,2,2,14,2011/7/4,2011/7/10
2011,51,35,22.636206,120.3168833,2,0,2,2,18,2011/12/12,2011/12/18
2011,9,35,22.636206,120.3168833,2,0,2,4.347826087,10,2011/2/21,2011/2/27
2012,12,35,22.636206,120.3168833,2,0.02,2,3.125,112,2012/3/12,2012/3/18
2012,13,35,22.636206,120.3168833,2,0,2,4.166666667,8,2012/3/19,2012/3/25
2012,3,35,22.636206,120.3168833,2,0,2,4.761904762,12,2012/1/9,2012/1/15
2012,6,35,22.636206,120.3168833,2,0,2,1.351351351,6,2012/1/30,2012/2/5
2005,52,36,22.6386344,120.3100354,2,0,2,2.857142857,42,2005/12/19,2005/12/25
2007,1,36,22.6386344,120.3100354,2,0,2,3.448275862,4,2007/1/1,2007/1/7
2007,10,36,22.6386344,120.3100354,2,0,2,2.222222222,12,2007/3/5,2007/3/11
2007,11,36,22.6386344,120.3100354,2,0,2,2.702702703,4,2007/3/12,2007/3/18
2007,16,36,22.6386344,120.3100354,2,0,2,1.639344262,4,2007/4/16,2007/4/22
2007,37,36,22.6386344,120.3100354,2,0,2,1.162790698,6,2007/9/10,2007/9/16
2007,6,36,22.6386344,120.3100354,2,0,2,2.272727273,22,2007/2/5,2007/2/11
2008,51,36,22.6386344,120.3100354,2,0,2,2,62,2008/12/15,2008/12/21
2008,52,36,22.6386344,120.3100354,2,0,2,2.631578947,22,2008/12/22,2008/12/28
2011,25,36,22.6386344,120.3100354,2,0,2,2.325581395,12,2011/6/13,2011/6/19
2012,12,36,22.6386344,120.3100354,2,0,2,5.263157895,40,2012/3/12,2012/3/18
2012,19,36,22.6386344,120.3100354,2,0,2,4,10,2012/4/30,2012/5/6
2005,27,37,22.6381576,120.3010244,2,0,2,1.666666667,42,2005/6/27,2005/7/3
2005,52,37,22.6381576,120.3010244,2,0,2,2.325581395,24,2005/12/19,2005/12/25
2007,18,37,22.6381576,120.3010244,2,0.04,2,1.818181818,36,2007/4/30,2007/5/6
2007,40,37,22.6381576,120.3010244,2,0,2,0.943396226,18,2007/10/1,2007/10/7
2009,7,37,22.6381576,120.3010244,2,0,2,1.851851852,20,2009/2/9,2009/2/15
2005,15,38,22.636999,120.3049893,2,0,2,1.470588235,26,2005/4/4,2005/4/10
2005,52,38,22.636999,120.3049893,2,0,2,2.5,20,2005/12/19,2005/12/25
2006,9,38,22.636999,120.3049893,2,0,2,2.857142857,36,2006/2/20,2006/2/26
2008,4,38,22.636999,120.3049893,2,0,2,1.612903226,6,2008/1/21,2008/1/27
2011,20,38,22.636999,120.3049893,2,0,2,3.03030303,4,2011/5/9,2011/5/15
2007,10,39,22.633484,120.3186853,2,0,2,1.785714286,12,2007/3/5,2007/3/11
2007,11,39,22.633484,120.3186853,2,0.02,2,1.754385965,14,2007/3/12,2007/3/18
2007,14,39,22.633484,120.3186853,2,0,2,2.127659574,4,2007/4/2,2007/4/8
2007,37,39,22.633484,120.3186853,2,0,2,2.040816327,8,2007/9/10,2007/9/16
2007,40,39,22.633484,120.3186853,2,0,2,1.333333333,16,2007/10/1,2007/10/7
2008,10,39,22.633484,120.3186853,2,0,2,1.369863014,8,2008/3/3,2008/3/9
2009,16,39,22.633484,120.3186853,2,0,2,1.470588235,16,2009/4/13,2009/4/19
2009,3,39,22.633484,120.3186853,2,0,2,1.587301587,12,2009/1/12,2009/1/18
2009,7,39,22.633484,120.3186853,2,0,2,1.960784314,24,2009/2/9,2009/2/15
2012,12,39,22.633484,120.3186853,2,0,2,3.333333333,30,2012/3/12,2012/3/18
2005,19,40,22.6390265,120.2855241,2,0.04,2,1.724137931,20,2005/5/2,2005/5/8
2005,52,40,22.6390265,120.2855241,2,0,2,2.040816327,12,2005/12/19,2005/12/25
2007,18,40,22.6390265,120.2855241,2,0,2,1.265822785,2,2007/4/30,2007/5/6
2007,35,40,22.6390265,120.2855241,2,0,2,1.176470588,6,2007/8/27,2007/9/2
2007,40,40,22.6390265,120.2855241,2,0,2,1.111111111,54,2007/10/1,2007/10/7
2007,6,40,22.6390265,120.2855241,2,0,2,1.428571429,4,2007/2/5,2007/2/11
2008,3,40,22.6390265,120.2855241,2,0,2,1.612903226,6,2008/1/14,2008/1/20
2009,2,40,22.6390265,120.2855241,2,0,2,2.380952381,8,2009/1/5,2009/1/11
2011,22,40,22.6390265,120.2855241,2,0,2,2.040816327,4,2011/5/23,2011/5/29
2011,7,40,22.6390265,120.2855241,2,0,0,2.941176471,0,2011/2/7,2011/2/13
2012,18,40,22.6390265,120.2855241,2,0.02,2,2.857142857,24,2012/4/23,2012/4/29
2012,20,40,22.6390265,120.2855241,2,0,2,2.777777778,6,2012/5/7,2012/5/13
2007,35,41,22.6416948,120.3049893,2,0,2,2.941176471,8,2007/8/27,2007/9/2
2008,51,41,22.6416948,120.3049893,2,0.02,2,2.857142857,6,2008/12/15,2008/12/21
2008,8,41,22.6416948,120.3049893,2,0,2,1.587301587,4,2008/2/18,2008/2/24
2009,21,41,22.6416948,120.3049893,2,0,2,1.694915254,8,2009/5/18,2009/5/24
2011,25,41,22.6416948,120.3049893,2,0,2,3.225806452,6,2011/6/13,2011/6/19
2011,8,41,22.6416948,120.3049893,2,0,2,3.333333333,10,2011/2/14,2011/2/20
2005,18,42,22.6443781,120.3049893,2,0.04,2,1.886792453,32,2005/4/25,2005/5/1
2005,32,42,22.6443781,120.3049893,2,0.02,2,1.25,16,2005/8/1,2005/8/7
2007,16,42,22.6443781,120.3049893,2,0,2,1.612903226,6,2007/4/16,2007/4/22
2007,40,42,22.6443781,120.3049893,2,0,2,1.923076923,8,2007/10/1,2007/10/7
2007,52,42,22.6443781,120.3049893,2,0,2,1.666666667,8,2007/12/24,2007/12/30
2008,11,42,22.6443781,120.3049893,2,0,2,2.43902439,12,2008/3/10,2008/3/16
2008,51,42,22.6443781,120.3049893,2,0,2,1.030927835,6,2008/12/15,2008/12/21
2011,14,42,22.6443781,120.3049893,2,0,2,3.703703704,30,2011/3/28,2011/4/3
2011,15,42,22.6443781,120.3049893,2,0,2,4,10,2011/4/4,2011/4/10
2011,24,42,22.6443781,120.3049893,2,0,2,3.703703704,16,2011/6/6,2011/6/12
2011,25,42,22.6443781,120.3049893,2,0,2,2.702702703,14,2011/6/13,2011/6/19
2011,29,42,22.6443781,120.3049893,2,0,2,2.631578947,2,2011/7/11,2011/7/17
2012,12,42,22.6443781,120.3049893,2,0.02,2,3.703703704,46,2012/3/12,2012/3/18
2005,18,43,22.6405028,120.3042684,2,0.04,2,1.515151515,14,2005/4/25,2005/5/1
2005,52,43,22.6405028,120.3042684,2,0,2,1.754385965,22,2005/12/19,2005/12/25
2007,10,43,22.6405028,120.3042684,2,0,2,1.492537313,6,2007/3/5,2007/3/11
2007,14,43,22.6405028,120.3042684,2,0,2,1.351351351,2,2007/4/2,2007/4/8
